"ID","","","","","","","",""
"77f4b224-f12e-4205-8f16-21a776e8fe3e","Web Content Accessibility Guidelines (WCAG)","Technical skills","Software Solutions - Quality Assurance, Software Solutions - Web Development, Digital Project Portfolio Management, Software Solutions - Application Development, Software Solutions - Product Design, Digital Business Line Advisory Services","Demonstrated ability to implement Web Content Accessibility Guidelines to enhance web accessibility. This includes ensuring that digital content is perceivable, operable, understandable, and robust for all users, promoting an inclusive online experience.","Règles pour l'accessibilité es contenus Web (WCAG)","Compétences techniques","Solutions logicielles - assurance qualité, Solutions logicielles - développement web, Gestion de portefeuille de projets numériques, Solutions logicielles - développement d'applications, Solutions logicielles - Conception de produits, Services consultatifs auprès des secteurs de la numérique","Capacité démontrée à mettre en œuvre les Règles pour l'accessibilité des contenus Web afin d'améliorer l'accessibilité des sites. Cela inclut l'assurance que le contenu numérique est perceptible, utilisable, compréhensible et robuste pour tous les utilisateurs, favorisant ainsi une expérience en ligne inclusive."
"2f14f893-c6d8-45d5-8296-86fca83407ec","Artificial Intelligence Programming Languages","Technical skills","Programming Languages, Frameworks, and Tools, Data Services - Data Science","Demonstrated ability to design, write, and iterate code or scripts in programming languages relevant to artificial intelligence across the model lifecycle, from concept through development to deployment. This may include languages such as Python, R, Julia, C++, or Java.","Langages de programmation d’intelligence artificielle","Compétences techniques","Langages de programmation, frameworks et outils, Services de données - Science des données","Capacité démontrée à concevoir, écrire et modifier du code et des scripts dans des langages de programmation pertinents pour l'intelligence artificielle tout au long du cycle de vie du modèle, de la conception au développement, jusqu'au déploiement. Cela peut inclure des langages tels que Python, R, Julia, C++ ou Java."
"5208f62d-fe66-4b04-9ff7-8e6a2a1320a3","Cherwell Service Management","Technical skills","IT Infrastructure Operations","Demonstrated ability to configure, customize or manage Cherwell Service Management tools. This may include streamlining IT service delivery, automating workflows, improving incident management processes, or improving change management processes.","Système de gestion des services Cherwell","Compétences techniques","Opérations d'infrastructure informatique","Capacité démontrée à configurer, à personnaliser ou à gérer les outils de gestion des services proposés dans Cherwell. Cela peut inclure la simplification de la prestation de services de TI, l’automatisation des flux de travail, l’amélioration des processus de gestion des incidents ou l’amélioration des processus de gestion du changement."
"ce8e27a6-9dcf-41c1-98f7-52caa77741e1","IT Service Management tools","Technical skills","IT Infrastructure Operations","Demonstrated ability to identify and document service components and their interactions using service mapping tools. This may include creating visual representations with tools such as ServiceNow or Cherwell Service Management.","Outils de gestion des services de TI","Compétences techniques","Opérations d'infrastructure informatique","Capacité démontrée à recenser et à documenter des composants de services et leurs interactions à l’aide d’outils de mise en correspondance des services. Cela peut inclure la conception de représentations visuelles à l’aide d’outils tels que ServiceNow ou le système de gestion des services Cherwel."
"78ea78f4-3a4c-4e38-a4bc-991f3fd1846a","Help Desk Operations","Technical skills","IT Infrastructure Operations","Demonstrated ability to manage service requests through a help desk. This may involve receiving tickets, engaging with clients, promptly addressing IT problems, and ensuring solutions are clearly understood and correctly implemented.","Activités du service de dépannage","Compétences techniques","Opérations d'infrastructure informatique","Capacité démontrée à gérer les demandes de service par l’intermédiaire d’un service de dépannage. Cela peut inclure la réception de billets, la communication avec des clients, la résolution rapide de problèmes informatiques et la prise de mesure visant à garantir une bonne compréhension et application des solutions."
"b8e9cc3e-ba02-49d7-8a54-2e63273996dd","Managing Privacy Breaches","Technical skills","Access to Information and Privacy","Demonstrated ability to handle incidents involving compromised personal information to ensure compliance with the Privacy Act and restore trust with affected individuals, stakeholders, or the organization. This may include identifying, assessing, and mitigating privacy breaches, coordinating appropriate responses, or communicating with affected individuals or stakeholders.","Gestion des atteintes à la vie privée","Compétences techniques","Accès à l’information et de la protection des renseignements personnels","Capacité démontrée à gérer des incidents impliquant des informations personnelles compromises afin de garantir le respect de la Loi sur la protection des renseignements personnels et de rétablir la confiance avec les personnes concernées, les parties prenantes ou l'organisation. Cela peut inclure l'identification, l'évaluation et l'atténuation des atteintes à la vie privée, la coordination des réponses appropriées ou la communication avec les personnes concernées ou les parties prenantes."
"96b1acb9-11d9-4651-b799-ae6cea2c9186","ServiceNow","Technical skills","IT Infrastructure Operations","Demonstrated ability to design, implement, or optimize ServiceNow for IT service management, automation or business process improvement.","ServiceNow","Compétences techniques","Opérations d'infrastructure informatique","Capacité démontrée à concevoir, à mettre en œuvre ou à optimiser ServiceNow aux fins de la gestion des services de TI, de leur automatisation ou de l’amélioration de processus opérationnels."
"f1c7629d-4ee8-48a0-9166-36e3e45d0aec","IT Support","Technical skills","IT Infrastructure Operations","Demonstrated ability to provide technical support to clients, technical specialists or stakeholders on IT systems and services. This may include troubleshooting issues, resolving technical problems, and ensuring the proper application of solutions.","Soutien informatique","Compétences techniques","Opérations d'infrastructure informatique","Capacité démontrée à fournir un soutien technique aux clients, aux spécialistes techniques ou aux parties prenantes qui utilisent des systèmes et des services de TI. Cela peut inclure le dépannage, la résolution de problèmes techniques et la prise de mesures visant à garantir l’application adéquate des solutions."
"caecbdd6-c78d-48c1-8478-41c8cb7f1331","Knowledge Transfer","Technical skills","Leadership - General Technical Skills","Demonstrated ability to facilitate the transfer of knowledge to clients or stakeholders. This may include sharing information, developing materials, or ensuring comprehension and application of concepts.","Transfert de connaissances","Compétences techniques","Leadership - Compétences techniques générales","Capacité démontrée à faciliter le transfert de connaissances aux clients ou aux parties prenantes. Cela peut inclure la communication de renseignements, l’élaboration de documents ou la prise de mesure visant à garantir une bonne compréhension et mise en œuvre des concepts."
"fb842ea1-2cd8-4a24-af56-9f5daf388b4d","Cost Recovery - Financial Mechanisms","Technical skills","Financial Management","Demonstrated ability to analyze and oversee cost-recovery mechanisms, including revolving funds, service fees, or vote-netted revenue.  This may include monitoring financial flows, assessing the effectiveness of cost-recovery strategies, or ensuring alignment with organizational goals and regulatory requirements.","Recouvrement des coûts – Mécanismes financiers","Compétences techniques","Gestion financière","Capacité démontrée à analyser et superviser les mécanismes de recouvrement des coûts, y compris les fonds renouvelables, les frais de service ou les revenus nets votés. Cela peut inclure la surveillance des flux financiers, l’évaluation de l’efficacité des stratégies de recouvrement des coûts ou l’assurance de l’alignement avec les objectifs organisationnels et les exigences réglementaires."
"0fbd3ecc-43ea-4f32-9f62-7a9d4aee5229","Digital Literacy","Behavioural skills","GC Digital Competencies","Demonstrated ability to learn, understand, and use modern technology to find, evaluate, and communicate information.","Littératie numérique","Compétences comportementales","Les compétences numériques du GC","Capacité démontrée d’apprendre, de comprendre et d’utiliser la technologie moderne pour trouver, évaluer et communiquer de l’information."
"ab52e9f4-0333-4e2f-8ac0-de0a7624b05c","Legislative Interpretation – Access to Information and Privacy Acts","Technical skills","Access to Information and Privacy","Demonstrated ability to interpret and apply the Access to Information Act or the Privacy Act in a professional context. This includes analyzing legislation and associated policy documents, understanding their implications, and ensuring compliance with legal and institutional requirements in decision-making, information management, or privacy protection.","Interprétation législative - Lois sur l'accès à l'information et sur la protection des renseignements personnels","Compétences techniques","Accès à l’information et de la protection des renseignements personnels","Capacité démontrée à interpréter et à appliquer la Loi sur l'accès à l'information ou la Loi sur la protection des renseignements personnels dans un contexte professionnel. Cela inclut l'analyse de la législation et des documents politiques associés, la compréhension de leurs implications et le respect des exigences légales et institutionnelles en matière de prise de décision, de gestion de l'information ou de protection des renseignements personnels."
"4833893a-0be9-457a-8c53-cb5fe0baeac0","Innovation Management Software","Technical skills","Data Services - Data Science, Data Services - Data Analytics, Digital Business Line Advisory Services","Demonstrated ability to use innovation management platforms or software tools to design, build, or implement solutions that manage the flow of ideas from initial concept generation to final value realization for business use. This may include platforms such as IdeaScale or Accolade.","Logiciel de gestion de l'innovation","Compétences techniques","Services de données - Science des données, Services de données - Analyse de données, Services consultatifs auprès des secteurs de la numérique","Capacité démontrée à utiliser des plateformes ou des outils logiciels de gestion de l'innovation pour concevoir, élaborer ou mettre en œuvre des solutions permettant de gérer les flux d’idées, de la création du concept initial jusqu'à la réalisation de la valeur finale à opérationnaliser. Cela peut inclure des plateformes telles que IdeaScale ou Accolade."
"9c935589-6a2b-4495-8525-e4f8b4d26cce","Customer Relationship Management (CRM) Solutions","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to use Customer Relationship Management (CRM) platforms to conceptualize, design, implement or manage solutions to align the business needs with technical feasibility. This includes understanding business logic workflows and process automation, configuring CRM tools to manage client interactions, and improving service delivery through effective use of CRM technology. This may include use of platforms such as Salesforce or MS Dynamics.","Solutions de gestion de la relation client (GRC)","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à utiliser des plateformes de gestion de la relation client (GRC) pour conceptualiser, concevoir, mettre en œuvre ou gérer des solutions permettant d'aligner les besoins opérationnels sur la faisabilité technique. Cela inclut de comprendre les flux de travail de la logique commerciale et l'automatisation des processus, de configurer les outils de GRC pour gérer les interactions avec les clients, et d’améliorer la prestation de services grâce à une utilisation efficace de la technologie de GRC. Cela peut inclure l’utilisation de plateformes telles que Salesforce ou MS Dynamics."
"e353d3f9-e8ee-49fe-b8bf-c6476aec1079","Learning Management Systems (LMS) Development","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to develop, configure, deploy, or maintain Learning Management Systems (LMS) to deliver and manage educational content. This includes creating and customizing courses, tracking learner progress, integrating third-party tools, and ensuring the platform’s functionality and security. This may include platforms such as Moodle, Canvas, or Blackboard.","Développement de systèmes de gestion de l'apprentissage (SGA)","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à développer, à configurer, à déployer ou à maintenir des systèmes de gestion de l'apprentissage (SGA) pour fournir et gérer des contenus éducatifs. Cela inclut de créer et de personnaliser des cours, de suivre les progrès des apprenants, d'intégrer des outils tiers et d’assurer la fonctionnalité et la sécurité de la plateforme. Cela peut inclure des plateformes telles que Moodle, Canvas ou Blackboard."
"b3529dc9-afc0-4f63-a87f-5d4fba63d827","Content Management Systems (CMS) Development","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to develop, configure, deploy, or maintain Content Management Systems (CMS) to organize, store, and publish digital content. This includes customizing the system, integrating third-party tools, managing content workflows, and ensuring the platform’s functionality and security. This may include platforms such as SharePoint, Drupal, or WordPress.","Développement de systèmes de gestion de contenu (SGC)","Compétences techniques","Langages de programmation, frameworks et outils","Capacités démontrée à développer, à configurer, à déployer ou à maintenir des systèmes de gestion de contenu (SGC) pour organiser, stocker et publier du contenu numérique. Cela inclut de personnaliser le système, d’intégrer des outils tiers, de gérer des flux de contenu et d’assurer la fonctionnalité et la sécurité de la plateforme. Cela peut inclure des plateformes telles que SharePoint, Drupal ou WordPress."
"88a5e5ed-cee8-497f-b2f9-ef929cdac109","Regulatory Compliance – Security Standards","Technical skills","IT Security","Demonstrated ability to understand and apply security compliance frameworks. This includes assessing risks, ensuring compliance with security standards, and implementing security controls in line with relevant legislation, regulations, policies, or industry best practices.","Conformité réglementaire – normes de sécurité","Compétences techniques","Sécurité informatique","Capacité démontrée à comprendre et à appliquer les cadres de conformité en matière de sécurité. Cela comprend d'évaluer les risques, de veiller au respect des normes de sécurité et de mettre en œuvre des contrôles de sécurité conformément à la législation, à la réglementation, aux politiques et aux meilleures pratiques du secteur."
"f5813aa7-dd48-4963-a67a-19f31465898d","Information and Communications Technology Accessibility","Technical skills","IT Infrastructure Operations, Software Solutions - Quality Assurance, Software Solutions - Product Design, Digital Business Line Advisory Services","Demonstrated ability to apply accessibility standards and guidelines to assess, determine compliance, or identify barriers to the use of technology by persons with disabilities.","Accessibilité des technologies de l'information et des communications","Compétences techniques","Opérations d'infrastructure informatique, Solutions logicielles - assurance qualité, Solutions logicielles - Conception de produits, Services consultatifs auprès des secteurs de la numérique","Capacité démontrée à appliquer des normes et des lignes directrices en matière d'accessibilité pour évaluer, déterminer la conformité ou identifier les obstacles à l'utilisation des technologies par les personnes handicapées."
"c692910f-94bf-4817-9a94-7d6ecec5388b","Assistive Technologies","Technical skills","IT Infrastructure Operations, Digital Business Line Advisory Services","Demonstrated ability to use assistive or adaptive technology tools to enhance accessibility and support individuals with diverse needs. This may include setting up, configuring, or providing advice on the use of technologies such as screen readers, speech recognition software, or adaptive hardware.","Technologies d'assistance","Compétences techniques","Opérations d'infrastructure informatique, Services consultatifs auprès des secteurs de la numérique","Capacité démontrée à utiliser des outils technologiques d'assistance ou d'adaptation pour améliorer l'accessibilité et soutenir les individus ayant des besoins divers. Cela peut inclure la configuration, la mise en place ou la fourniture de conseils sur l'utilisation de technologies telles que les lecteurs d'écran, les logiciels de reconnaissance vocale ou le matériel adaptatif."
"39664653-4a4e-4e4b-a0ec-6d5daa5098d2","Security Fundamentals","Technical skills","IT Infrastructure Operations, Financial Management, Cyber Security","Demonstrated ability to understand and apply core security fundamentals to protect government information, people, or assets. This includes adhering to relevant security legislation, regulations, policies, and practices to support the security and integrity of information, individuals, and assets.","Principes de base de la sécurité","Compétences techniques","Opérations d'infrastructure informatique, Gestion financière, Cybersécurité","Capacité démontrée à comprendre et à appliquer les principes fondamentaux de la sécurité pour protéger les informations, les personnes et les biens du gouvernement. Cela inclut le respecter de la législation, de la réglementation, des politiques et des pratiques en matière de sécurité afin de garantir la sécurité et l'intégrité des informations, des personnes et des biens."
"fcaa1c4d-24c5-431e-9287-2b0a1723eea7","Multitasking","Behavioural skills","Personal Behaviours","Demonstrated ability to perform multiple tasks or activities simultaneously or switch between tasks efficiently to meet deadlines or objectives.","Multitâche","Compétences comportementales","Comportements personnels","Capacité démontrée à effectuer plusieurs tâches ou activités simultanément ou à passer efficacement d'une tâche à l'autre pour respecter des délais ou atteindre des objectifs."
"00288d8d-c0ba-45a8-861a-e0d2811b530f","IT Asset Lifecycle Coordination","Technical skills","IT Infrastructure Operations, Digital Project Portfolio Management, Digital Business Line Advisory Services","Demonstrated ability to oversee and coordinate the life cycle of IT assets. This includes tracking, maintaining, and ensuring compliance with licensing agreements, security standards, and inventory controls. This may include procuring, deploying, auditing, or decommissioning IT assets such as hardware, software, or related resources.","Coordination du cycle de vie des biens de TI","Compétences techniques","Opérations d'infrastructure informatique, Gestion de portefeuille de projets numériques, Services consultatifs auprès des secteurs de la numérique","Capacité démontrée à superviser et à coordonner le cycle de vie des biens de TI. Cela inclut le suivi, la maintenance et le respect des accords de licence, des normes de sécurité et des contrôles d'inventaire. Cela peut inclure l'acquisition, le déploiement, l'audit ou la mise hors service d'actifs informatiques tels que des matériels, des logiciels ou des ressources connexes."
"2cd2d03c-f8d7-4e28-b56b-faf504f6cfa5","Cabinet Documents - Drafting","Technical skills","Working in Government, Financial Management","Demonstrated ability to prepare formal cabinet documents that seek approval for government policies, projects, or programs. This includes drafting clear, comprehensive, and well-structured documents that align with government priorities, and providing detailed financial or non-financial justifications. This may include cabinet documents such as Memoranda to Cabinet (MC), Orders in Council or Treasury Board Submissions.","Documents du Cabinet - Rédaction","Compétences techniques","Travailler au sein du gouvernement, Gestion financière","Capacité démontrée à préparer des documents formels pour le Cabinet visant à obtenir l'approbation des politiques, projets ou programmes gouvernementaux. Cela inclut la rédaction de documents clairs, complets et bien structurés, alignés avec les priorités gouvernementales, et la fourniture de justifications financières ou non financières détaillées. Cela peut inclure des documents du Cabinet tels que des Mémorandums au Cabinet (MC), des Ordonnances en Conseil ou des Soumissions au Conseil du Trésor."
"b06d9671-459a-43c4-9390-5b4d5cc58a42","Cyber Security Vigilance","Behavioural skills","GC Digital Competencies","Demonstrated ability to take personal responsibility for safeguarding data, information, or systems within one's work environment by consistently applying cyber security best practices and departmental standards.","Vigilance en matière de cybersécurité","Compétences comportementales","Les compétences numériques du GC","Capacité démontrée à assumer la responsabilité personnelle de la protection des données, des informations ou des systèmes dans son environnement de travail en appliquant systématiquement les meilleures pratiques en cybersécurité et les normes départementales."
"a2395ee3-c551-498c-8dd7-dbb9d96b294f","Cabinet Documents - Administration","Technical skills","Working in Government, Financial Management","Demonstrated ability to administer cabinet documents by organizing, maintaining, or ensuring the proper storage and retrieval of documents. This may include updating document tracking systems, managing confidentiality protocols, or ensuring compliance with record-keeping policies. This may include cabinet documents such as Memoranda to Cabinet (MC), Orders in Council or Treasury Board Submissions.","Documents du Cabinet - Administration","Compétences techniques","Travailler au sein du gouvernement, Gestion financière","Capacité démontrée à administrer les documents du Cabinet en organisant, en maintenant ou en assurant le stockage et la récupération appropriés des documents. Cela peut inclure la mise à jour des systèmes de suivi des documents, la gestion des protocoles de confidentialité ou l'assurance de la conformité avec les politiques de conservation des documents. Cela peut inclure des documents du Cabinet tels que des Mémorandums au Cabinet (MC), des Ordonnances en Conseil ou des Soumissions au Conseil du Trésor."
"cf7819d6-4c0c-4745-add3-8ecab1751164","Cabinet Documents - Technical Review","Technical skills","Working in Government, Financial Management","Demonstrated ability to conduct technical reviews of cabinet documents by evaluating content for accuracy, feasibility, and alignment with technical standards. This may include consulting with subject matter experts, identifying potential issues, or recommending solutions to ensure the quality of cabinet submissions. This may include cabinet documents such as Memoranda to Cabinet (MC), Orders in Council or Treasury Board Submissions.","Documents du Cabinet - Examen technique","Compétences techniques","Travailler au sein du gouvernement, Gestion financière","Capacité démontrée à effectuer des revues techniques des documents du Cabinet en évaluant le contenu pour en vérifier l'exactitude, la faisabilité et l'alignement avec les normes techniques. Cela peut inclure la consultation avec des experts en la matière, l'identification de problèmes potentiels ou la recommandation de solutions pour garantir la qualité des soumissions du Cabinet. Cela peut inclure des documents du Cabinet tels que des Mémorandums au Cabinet (MC), des Ordonnances en Conseil ou des Soumissions au Conseil du Trésor."
"8aa426a6-2cce-4fed-a5b0-6f7ad2a63882","Policy Development","Technical skills","Information and Data Governance - Strategy and Direction, Access to Information and Privacy, Working in Government","Demonstrated ability to create, draft, or revise policy documents, including advancing these changes through the policy development and approval process. This includes engaging with stakeholders, assessing risks and impacts, testing drafts with users to ensure feasibility, and ensuring that policies are compliant with regulations and government priorities.","Élaboration de politiques","Compétences techniques","Gouvernance de l'information et des données - Stratégie et orientation, Accès à l’information et de la protection des renseignements personnels, Travailler au sein du gouvernement","Capacité démontrée à créer, rédiger ou réviser des documents de politique, y compris à faire avancer ces modifications à travers le processus de développement et d'approbation des politiques. Cela inclut l'engagement avec les parties prenantes, l'évaluation des risques et des impacts, l'évaluation des projets auprès des utilisateurs pour garantir leur faisabilité et l'assurance que les politiques sont conformes aux règlements et priorités gouvernementales."
"09000e27-76bd-4437-9886-c1bfa50616c3","Cabinet Documents - Approval Process","Technical skills","Working in Government, Financial Management","Demonstrated ability to manage the cabinet document approval process by coordinating with stakeholders, ensuring compliance with government procedures, and facilitating the timely review and approval of documents. This may include tracking revisions, addressing feedback, and maintaining records of approvals. This may include cabinet documents such as Memoranda to Cabinet (MC), Orders in Council or Treasury Board Submissions.","Documents du Cabinet - Processus d'approbation","Compétences techniques","Travailler au sein du gouvernement, Gestion financière","Capacité démontrée à gérer le processus d'approbation des documents du Cabinet en coordonnant avec les parties prenantes, en assurant la conformité avec les procédures gouvernementales et en facilitant l'examen et l'approbation en temps opportun des documents. Cela peut inclure le suivi des révisions, la prise en compte des commentaires et le maintien des archives des approbations. Cela peut inclure des documents du Cabinet tels que des Mémorandums au Cabinet (MC), des Ordonnances en Conseil ou des Soumissions au Conseil du Trésor."
"eed886ae-904f-40d5-8860-c37bc0c28668","Cloud Platform Administration","Technical skills","IT Infrastructure Operations","Demonstrated ability to manage or maintain cloud platforms to ensure reliable, secure, and scalable operations. This may include configuring cloud services, overseeing user access and permissions, monitoring system health, troubleshooting issues, or implementing cloud security measures.","Administration de la Plateforme infonuagique","Compétences techniques","Opérations d'infrastructure informatique","Capacité démontrée à gérer ou maintenir des plateformes infonuagique pour garantir des opérations fiables, sécurisées et évolutives. Cela peut inclure la configuration des services infonuagique, la gestion des accès et des autorisations des utilisateurs, la surveillance de la santé du système, la résolution des problèmes ou la mise en œuvre de mesures de sécurité infonuagique."
"7bcd9a23-fe31-4d44-8ac4-c978d27d9dc8","Application of Information Technology Infrastructure Library (ITIL) Guiding Principles","Technical skills","IT Infrastructure Operations","Demonstrated ability to apply the Information Technology Infrastructure Library (ITIL) guiding principles in daily operational service management to optimize value for stakeholders and enhance IT service delivery.","Application des Principes Directeurs de la Bibliothèque d'Infrastructure des Technologies de l'Information (ITIL)","Compétences techniques","Opérations d'infrastructure informatique","Capacité démontrée à appliquer les principes directeurs de la Bibliothèque d'Infrastructure des Technologies de l'Information (ITIL) dans la gestion quotidienne des services opérationnels afin d'optimiser la valeur pour les parties prenantes et améliorer la prestation des services informatiques."
"64b0c170-826c-417b-a879-0af9dfea2203","Cabinet Documents - Financial Oversight","Technical skills","Working in Government, Financial Management","Demonstrated ability to provide financial oversight for cabinet documents by reviewing and ensuring the accuracy of financial data, budgets, and resource allocations within cabinet submissions. This may include coordinating with financial authorities and ensuring alignment with government funding policies and guidelines. This may include cabinet documents such as Memoranda to Cabinet (MC), Orders in Council or Treasury Board Submissions.","Documents du Cabinet - Surveillance financière","Compétences techniques","Travailler au sein du gouvernement, Gestion financière","Capacité démontrée à exercer une supervision financière des documents du Cabinet en révisant et en assurant l'exactitude des données financières, des budgets et des allocations de ressources dans les soumissions du Cabinet. Cela peut inclure la coordination avec les autorités financières et l'assurance de l'alignement avec les politiques et lignes directrices de financement gouvernementales. Cela peut inclure des documents du Cabinet tels que des Mémorandums au Cabinet (MC), des Ordonnances en Conseil ou des Soumissions au Conseil du Trésor."
"775618b6-692f-493d-bb87-10c1983e53c6","Corporate Communications","Behavioural skills","Communication Skills, Financial Management","Demonstrated ability to manage internal or external communications to ensure consistent, clear, and effective messaging. This may include creating press releases, preparing speeches, handling media inquiries, or managing social media presence.","Communication de l’entreprise","Compétences comportementales","Compétences en communication, Gestion financière","Capacité démontrée à gérer les communications internes ou externes pour assurer des messages cohérents, clairs et efficaces. Cela peut inclure la rédaction de communiqués de presse, la préparation de discours, la gestion des demandes des médias ou la gestion de la présence sur les réseaux sociaux."
"5e54b89c-a682-4f65-9c09-b1192688b474","Accounting Operations","Technical skills","Financial Management","Demonstrated ability to oversee day-to-day accounting functions to ensure the accuracy and timeliness of financial transactions and reporting. This may include processing accounts payable and receivable, maintaining general ledgers, reconciling accounts, and ensuring compliance with accounting standards, organizational policies, and regulatory requirements.","Opérations comptables","Compétences techniques","Gestion financière","Capacité démontrée à superviser les fonctions comptables quotidiennes afin d'assurer l'exactitude et le respect des délais des transactions et des rapports financiers. Cela peut inclure le traitement des comptes créditeurs et débiteurs, la tenue des grands livres, le rapprochement des comptes et l'assurance de la conformité aux normes comptables, aux politiques organisationnelles et aux exigences réglementaires."
"d15f04a8-406a-4473-9f60-37aac68d34ca","Costing Support","Technical skills","Financial Management","Demonstrated ability to develop costing tools or provide advice, guidance, or oversight on costing matters to managers, financial officers, or stakeholders. This includes ensuring compliance with legislation, organizational policies, and central agency directives. This may include supporting business management functions or policy instruments requiring accurate costing and financial analysis.","Soutien à l’établissement des coûts","Compétences techniques","Gestion financière","Capacité démontrée à développer des outils de calcul des coûts ou à fournir des conseils, une orientation ou une supervision en matière de coûts aux gestionnaires, aux agents financiers ou aux parties prenantes. Cela inclut l'assurance de la conformité à la législation, aux politiques organisationnelles et aux directives des organismes centraux. Cela peut inclure le soutien aux fonctions de gestion des affaires ou aux instruments de politique nécessitant une évaluation précise des coûts et une analyse financière."
"e7387a3f-229e-41c4-b943-a8e75e01ad65","Functional Community Development","Technical skills","Financial Management, Leadership - General Technical Skills","Demonstrated ability to foster collaboration, engagement, or growth of a functional community. This may include strengthening community management and governance, advancing shared goals, promoting inclusive practices, facilitating active participation, or developing initiatives that advance community interests.","Développement de la collectivité fonctionnelle","Compétences techniques","Gestion financière, Leadership - Compétences techniques générales","Capacité démontrée à favoriser la collaboration, l'engagement ou la croissance d'une collectivité fonctionnelle. Cela peut inclure le renforcement de la gestion et de la gouvernance de la collectivité, la promotion des objectifs communs, la promotion des pratiques inclusives, la facilitation de la participation active ou le développement d'initiatives visant à faire progresser les intérêts de la collectivité."
"74e46e3b-e2ea-4488-8105-05f056469204","Performance Measurement","Technical skills","Information and Data Governance - Strategy and Direction, Information and Data Governance - Operations, Financial Management, Leadership - Executive Technical Skills","Demonstrated ability to track, assess, or evaluate the effectiveness of processes, programs, or individuals against defined objectives and benchmarks. This includes supporting data-informed, strategic decision-making through analyzing data against key metrics and evaluating performance.","Gestion des talents","Compétences techniques","Gouvernance de l'information et des données - Stratégie et orientation, Gouvernance de l'information et des données - Opérations, Gestion financière, Leadership - Compétences techniques des cadres","Capacité démontrée à suivre, évaluer ou mesurer l'efficacité des processus, programmes ou individus par rapport aux objectifs et repères définis. Cela inclut le soutien à la prise de décision stratégique basée sur les données en analysant les données par rapport aux principaux indicateurs et en évaluant la performance."
"1ccbfb39-1381-4717-9c4e-5f1edcb0fd76","Internal Financial Controls","Technical skills","Financial Management","Demonstrated ability to design, implement, or monitor internal controls to ensure the accuracy, integrity, or compliance of financial processes within an organization. This may include developing control frameworks, assessing financial risks, or ensuring that financial transactions are properly authorized and documented.","Contrôles financiers internes","Compétences techniques","Gestion financière","Capacité démontrée à concevoir, mettre en œuvre ou surveiller les contrôles internes pour assurer l’exactitude, l’intégrité ou la conformité des processus financiers au sein d’une organisation. Cela peut inclure l’élaboration de cadres de contrôle, l’évaluation des risques financiers ou l’assurance que les transactions financières sont dûment autorisées et documentées."
"4fa170a6-36f4-4e90-a65d-be7784dec6f7","Quality Assurance - Financial Management","Technical skills","Financial Management","Demonstrated ability to ensure accuracy, integrity, and compliance of financial management practices within an organization. This includes identifying discrepancies, recommending improvements, and ensuring financial reports are reliable and meet organizational and regulatory requirements. This may include developing and implementing quality control processes, conducting audits, or monitoring financial systems for adherence to standards and regulations.","Assurance de la qualité – Gestion financière","Compétences techniques","Gestion financière","Capacité démontrée à assurer l’exactitude, l’intégrité et la conformité des pratiques de gestion financière au sein d’une organisation. Cela inclut l’identification des écarts, la recommandation d’améliorations et l’assurance que les rapports financiers sont fiables et respectent les exigences organisationnelles et réglementaires. Cela peut inclure le développement et la mise en œuvre de processus de contrôle qualité, la réalisation d’audits ou la surveillance des systèmes financiers pour assurer leur conformité aux normes et réglementations."
"f2a4e262-eb3d-4619-a444-6b47aa0090a6","Quality Monitoring - Financial Management","Technical skills","Financial Management","Demonstrated ability to monitor or evaluate financial management processes to ensure accuracy, efficiency, or compliance with internal standards or external regulations. This may include tracking financial performance, conducting regular assessments, or reviewing financial transactions and reports.","Suivi de la qualité – Gestion financière","Compétences techniques","Gestion financière","Capacité démontrée à surveiller ou à évaluer les processus de gestion financière pour assurer l’exactitude, l’efficacité ou la conformité aux normes internes ou aux réglementations externes. Cela peut inclure le suivi de la performance financière, la réalisation d’évaluations régulières ou l’examen des transactions et des rapports financiers."
"bee30fa0-397c-41dc-ad83-2d9a88ea2ab8","Asset Lifecycle Coordination","Technical skills","Financial Management","Demonstrated ability to oversee and track the lifecycle of assets. This includes tracking asset performance, ensuring proper utilization, and maintaining accurate records. This may include acquisition, maintenance or disposal of assets, coordinating with vendors, managing contracts, or ensuring compliance with relevant policies and regulations.","Coordination du cycle de vie des actifs","Compétences techniques","Gestion financière","Capacité démontrée à superviser et suivre le cycle de vie des actifs. Cela inclut le suivi de la performance des actifs, l’assurance de leur utilisation appropriée et le maintien de registres précis. Cela peut inclure l’acquisition, l’entretien ou la disposition des actifs, la coordination avec les fournisseurs, la gestion des contrats ou l’assurance de la conformité aux politiques et réglementations pertinentes."
